ID,Codice Sito,Nome,Gestore,Indirizzo,Longitudine,Latitudine,Quota al suolo,Postazione,Altezza antenna da suolo
1231,PD4228A,Casalserugo,H3G,Via Colombo  CASALSERUGO (PD),11.920181743322596,45.31834749566624,5,Altro,25.35,
1233,PD4247A,MASERA',H3G,VIA MATTEI C/O PARCHEGGIO COMUNALE  MASERA' DI PADOVA (PD),11.859404021571567,45.31492688022576,5.9,Al Suolo,30.65,
1241,PD4394A,TEOLO ALTA,H3G,Via Marconi c/o campo sportivo  TEOLO (PD),11.679367400627138,45.342141985307244,137.7,Altro,29.55,
1280,PD5127-A,Piazza dei Signori,VODAFONE,Via Nazario Sauro  PADOVA (PD),11.874499624668172,45.40893717861661,16.5,Altro,7.7,
1327,PD57_D,SAN GIORGIO IN BOSCO,TELECOM,SS47 "Valsugana" c/o cimitero - propriet� comunale  SAN GIORGIO IN BOSCO (PD),11.804116440980936,45.585538931657524,30,Al Suolo,31.5,
1356,PD-6163A,Granze,VODAFONE,via degli Arzarini  GRANZE (PD),11.711795935411043,45.14829137215093,4,Altro,31,
1360,PD-6180-A,FS-S.ELENA,VODAFONE,LUNGO FERROVIA C/O SOTTOPASSO VIA ROMA  SANT'ELENA (PD),11.70881216322217,45.191327386245945,8,Altro,26.6,
1372,PD6189-A,OSPEDALETTO EUGANEO,VODAFONE,VIA IV NOVEMBRE C/O CIMITERO COMUNALE  OSPEDALETTO EUGANEO (PD),11.610481536553408,45.21942694030919,11,Su palo,32,
1380,PD-6270A,A4-Padova Ovest,VODAFONE,Autostrada A4 Km 136.20 direzione Est.  PADOVA (PD),11.83209723956111,45.451583870100116,23.3,Altro,7.69,
1382,PD62U,TEOLO,TELECOM,Campo Sportivo fronte cimitero Teolo  TEOLO (PD),11.678557749605737,45.342296014289374,137,Altro,29.2,
