ID,Codice Sito,Nome,Gestore,Indirizzo,Longitudine,Latitudine,Quota al suolo,Postazione,Altezza antenna da suolo
171,505,RAI-DVM1-490-S. ZENO,RAI,null  SAN ZENO DI MONTAGNA (VR),10.726728087473141,45.63020516453192,638,Al Suolo,34,
172,506,RAI-DVM2-546-S. ZENO,RAI,null  SAN ZENO DI MONTAGNA (VR),10.726728087473141,45.63020516453192,638,Al Suolo,34,
173,507,RAI-DVM3-514-S. ZENO,RAI,null  SAN ZENO DI MONTAGNA (VR),10.726728087473141,45.63020516453192,638,Al Suolo,34,
176,510,TELEARENA,TELEARENA S.p.A.,Largo Perlar  2 - Palazzo Bauli  VERONA (VR),10.976800326155177,45.40941865243225,60,Su edificio,31,
179,513,RADIO S. TERESA,ASSOCIAZIONE MOSAICO,Via Volturno - Campanile Chiesa S. Teresa  VERONA (VR),10.987459735615728,45.419288067954824,61,Altro,45,
180,514,TELE VERONA,VIDEODELTA,Viale Piave - Cartiera Fedrigoni  VERONA (VR),10.987888142456953,45.42966814056069,61,Altro,25,
181,515,TELENUOVO - RETE NORD,EDITRICE T.N.V.,Viale Piave - Cartiera Fedrigoni  VERONA (VR),10.987888142456953,45.42966814056069,61,Su edificio,25,
188,523,TV1 - RAI,RAI,via Monte Ongarina - Avesa  VERONA (VR),10.986974897858836,45.47828198476709,155,Al Suolo,15,
189,524,TV2 - RAI,RAI,Via Monte Ongarina - Avesa  VERONA (VR),10.986987368717815,45.47827276645814,155,Altro,15,
190,525,TV3 - RAI,RAI,via Monte Ongarina - Avesa  VERONA (VR),10.986961477901598,45.478264215836134,155,Al Suolo,15,
191,526,RAI MF1,RAI,Viale della Fiera - Torre SIP  VERONA (VR),10.980989673322982,45.42140782526048,64.5,Al Suolo,85,
192,527,RAI MF2,RAI,Viale della Fiera - Torre SIP  VERONA (VR),10.98100276254372,45.421416599450694,64.5,Al Suolo,85,
193,528,RAI MF3,RAI,Viale della Fiera - Torre SIP  VERONA (VR),10.981015851768504,45.421425373639316,64.5,Altro,85,
194,529,ISORADIO,RAI,Viale della Fiera - Torre SIP  VERONA (VR),10.98102894099734,45.42143414782635,64.5,Al Suolo,85,
210,BL 2271 C,VIA FELTRE,H3G,C/O CIMITERO  BELLUNO (BL),12.200306393093083,46.13480600719498,378,Altro,29.35,
211,BL 2272B,CASTION SOPRACRODA,H3G,C/O CAMPO SPORTIVO DI CASTION  BELLUNO (BL),12.235773993096398,46.12563373727193,428,Altro,26.35,
302,BL064,PALUDI,WIND,Via Sant'Andrea  loc. Sitran  PUOS D'ALPAGO (BL),12.33587497333014,46.13996223128341,521,Altro,22,
